PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2016;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
TS Pharma s.r.o. ;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;9 093,47;10 608,00;;;;
CARTAXO s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;1 410,00;896,00;;;;
Lekaren na namesti;Hnúšťa;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
Delpharm s.r.o.;Sása;Okres Zvolen;Banskobystrický kraj;;;;;;
EDDIE, s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Avicena s.r.o.;Hliník nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
Tatra-Alpine, a.s.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;;27 153,01;;3 246,00;;
INTEC PHARMA s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MGP, spol. s r. o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;56 574,28;25 670,35;24 757,15;30 643,58;4 063,74;0,00
SYNERGIA a.s.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
UNIMED spol.,s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;12 420,00;;;;;3 653,40
7R Panmed, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
RNDr. Mária Mušková - Lekáreň Sv. kríža;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Berlin-Chemie A.G.-obchodné zastúpenie v SR;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;142 384,00;8 567,00;23 645,00;14 007,20;120 498,91;121 411,88
Galderma-Spirig Česká a Slovenská republika a.s.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;521 012,27;40 390,44;4 880,00;2 220,00;3 744,29;5 728,08
Octapharma AG, o.z.z.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;6 864,00;0,00;;;2 426,31;505,62
Lekáreň ZDRAVIE Bernolákovo;Bernolákovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Tesco Stores SR, a.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Merck spol. s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;334 683,22;6 807,20;81 833,55;6 750,00;102 666,68;
sanofi-aventis Slovakia s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Hikma Pharmaceuticals Ltd.Co. o.z.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;28 000,00;2 589,72;;;;
Naturprodukt, spol. s r. o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;14 083,99;68 127,85;1 466,24;6 936,87;;
Ewopharma spol. s r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;84 778,82;3 216,00;3 707,46;5 567,80;2 008,70;162,31
Johnson & Johnson s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;474 939,43;26 844,82;100 490,81;268 014,78;284 153,95;
LACOMED SK, s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
B. Braun Medical;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;36 330,00;0,00;45 969,13;42 401,47;;
BIOPHARM spol. s r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Reckitt Benckiser (Slovak Republic) spol s.r.o. ;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;82 995,00;176 409,00;;;;
REHA SLOVAKIA, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
UNIMED PHARMA, spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;67 112,00;;;17 302,50;;15 528,32
Takeda Pharmaceuticals Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;140 976,00;7 983,00;18 848,89;;25 857,73;
Izomedact, spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Rhea spol. s r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
LYMA,S.R.O.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Zentiva, a.s.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;180 448,09;120 298,72;4 590,00;1 566,00;185 997,19;
PETRA - FARM s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
BENU SK 56, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;1 440,00;;
BENU SK 57, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;80,00;;;
MEDICAL GROUP SK a.s.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MEDOCHEMIE LTD, organizačná zložka zahraničnej osoby;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;14 356,69;810,00;17 069,00;;
UCB s.r.o., organizačná zložka ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;17 446,50;4 052,44;16 875,00;625,00;7 091,28;
Mundipharma Gesellschaft m.b.H organizačná zložka;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;83 817,87;20 505,00;5 400,00;16 900,00;34 626,24;59 625,84
Grifols International, S.A. obchodné zastúpenie pre Slovensko;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;;15 417,53;1 936,50;;6 559,39;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;343 612,00;634 388,00;66 498,93;54 423,30;38 687,29;
AstraZeneca AB , ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;100 502,92;0,00;187 901,48;26 960,00;5 258,83;90,17
lekareň EGI;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Galena, PharmDr. R. Ralbovská;Veľké Leváre;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Pharmevid s.r.o. ;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;300,00;0,00;;;;
PHOENIX Zdravotnícke zásobovanie, a.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;393 205,48;0,00;;111 528,00;;0,00
EGIS SLOVAKIA s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;590 178,98;17 861,40;234 633,00;27 480,79;90 369,77;9 631,05
Onkologický ústav sv. Alžbety, Lekáreň sv. Alžbety Heydukova 10  a pobočka Lekáreň sv. Alžbety, Špitálska 5;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
sanofi- aventis Pharma Slovakia s.r.o.  ;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;256 175,80;170 783,90;24 226,60;19 179,80;33 833,96;
Zentiva International a.s.  ;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
REGpharm Slovakia, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
SERVIER SLOVENSKO spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;819 390,00;595 267,00;289 886,31;37 407,96;119 661,58;
GlaxoSmithKline Slovakia s.r.o. ;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;1 513 754,37;517 108,50;45 977,69;16 276,88;7 324,15;4 361,00
BOIRON SK, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;131 030,63;245 907,85;6 427,56;3 761,80;10 873,47;
Topix;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
INTERCHEMIA Bratislava s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
SIAD Slovakia spol. s r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Bayer, spol. s r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;115 187,42;127 231,58;70 731,77;172 893,65;150 147,01;2 513,45
Lundbeck Slovensko s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;27 986,40;79 399,20;36 448,66;300,00;36 130,52;9,62
Krewel Meuselbach s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;21 013,81;26 742,95;;;;
Recordati SK s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;88 288,20;19 148,40;947,70;;
HARMÓNIA PHARM, spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Glynn Brothers Chemicals Slovakia s.r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;120 000,00;0,00;;;;
INTERPHARM Slovakia, a.s.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
R.A.C. Bratislava, spol. s r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
empiria slovakia;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;500,00;500,00;;;;
Actavis s.r.o.;Bratislava - mestská časť Dúbravka;Okres Bratislava IV;Bratislavský kraj;65 828,33;20 820,78;12 413,16;1 508,33;72 727,62;
LIEK s.r.o.;Senec;Okres Senec;Bratislavský kraj;;52 998,06;;;;
Valmed s.r.o.;Bratislava - mestská časť Dúbravka;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Baxter Slovakia s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;78 689,09;;14 444,22;3 000,00;30 038,29;30,00
GENERICON s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
HPI, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 403,00;1 183,07;;;;
Benela s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;32 574,55;7 080,00;6 279,00;1 630,00;12 522,62;
Dr. Peithner Bratislava s.r.o. ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;41 100,00;37 600,00;;1 180,00;;
BELUPO, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;145 012,84;11 998,80;17 800,00;800,00;2 606,00;3 580,45
IBSA Slovakia;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;579 992,33;252 072,80;3 052,10;307 040,17;12 616,74;11 731,79
Chiesi Slovakia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;28 340,00;0,00;840,00;5 260,00;29 399,14;
Schwabe Slovakia, s.r.o.  ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;312 000,00;140 000,00;24 930,97;41 589,91;5 419,65;
Eli Lilly Slovakia,s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;126 627,00;84 147,00;67 359,07;8 098,27;47 543,52;75,55
REGIMED SR, s.r.o., prevádzka Lekáreň Tri veže, Bajkalská 9/A;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Meda Pharma spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;444 117,00;304 172,00;97 660,00;21 980,00;86 956,72;
Pfizer Luxembourg SARL;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;852 979,50;591 561,20;202 567,92;66 213,46;236 821,02;0,00
Roche Slovensko, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;158 166,85;59 224,00;120 683,72;17 010,00;122 148,87;27 661,59
R-Pharmaservices, s.r.o.   ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ASCO International s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
PHARMEDCONS, s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;253,40;3 619,00;;;;
RECEPT SLOVAKIA, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Fresenius Kabi, s.r.o., o.z.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;19 280,00;146 763,00;40 537,51;7 764,54;;1 052,60
V.R.P. ZDRAVIE s.r.o.;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Pharma CBC s. r .o ;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
LEKAREŇ FARMÁCIA,s.r.o.0;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
MABEDA s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;100,00;0,00;;;;
MEDACO s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Prima s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
TEVA Pharmaceuticals Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;409 656,68;701 295,24;59 369,00;4 645,00;113 152,55;118,90
LekInvest s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
hc&ph, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
MedCon, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Westcor s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
GLENMARK PHARMACEUTICALS SK, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;105 432,00;203 278,00;;1 500,00;;
A&D Pharma Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň pri radnici spol s r.o.;Bratislava - mestská časť Devínska Nová Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Lekáreň 24 s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Pharmacum s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
ProLek s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
FARMAX Slovakia, a.s.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;5 233,00;6 320,00;;;;
SANDOZ d.d. - organizačná zložka;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;258 868,54;967 915,02;228 721,20;183 824,20;62 373,31;63 413,85
AOP Orphan Pharmaceuticals AG, organizačná zložka;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;3 400,00;0,00;44 503,38;160,00;31 090,66;
PHARMACOM, spol. s r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;12 520,48;;;;
PK Pezinok s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Stallergenes CZ s.r.o., organizačná zložka;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;23 805,10;9 310,76;15 900,00;1 100,00;1 754,64;7 556,12
Allergy Therapeutics (UK) Limited, organizačná zložka;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 410,00;900,00;;;;
Sofida s.r.o.;Tomášov;Okres Senec;Bratislavský kraj;;;;;;
Vitabalans SK s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;63 510,90;5 550,72;;948,00;;
Biogen Slovakia s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;29 997,07;39 336,71;79 257,17;39 450,02;31 773,25;
Lekáreň pri nemocnici - Čadca, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň TERNO, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Krásno, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
UTi Logistics Slovakia s. r. o.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
BENU SK 26, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 087,45;;;
BENU SK 36, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;4 120,49;;;
LAMA PLUS s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
ADPE, s.r.o.;Bratislava - mestská časť Devín;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
E.P.A. ZDRAVIE, s.r.o.;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
HEKAS, S.R.O.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Sv. kríža, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Novartis Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;126 981,68;986 263,68;321 637,65;30 645,60;139 118,00;0,00
PHARMA CBC II;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Novo Nordisk Slovakia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;39 446,45;111 062,26;21 852,88;74 580,00;24 810,06;
lekáreň Prima;Závod;Okres Malacky;Bratislavský kraj;0,00;0,00;0,00;;240,00;
Otto Bock Slovakia, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;4 410,32;0,00;2 000,00;2 410,32;;
LEKAREN RACA S.R.O.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
IM Kapitál s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
VULM SK s.r.o.;Bratislava - mestská časť Vajnory;Okres Bratislava III;Bratislavský kraj;465,60;0,00;;;;
Lekáreň MARTIN, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Rastislav Edelstein;Bratislava - mestská časť Lamač;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
S&D Pharma SK s.r.o;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;35 436,72;;3 545,00;25 691,72;;
Krka Slovensko s.r.o. ;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;237 928,00;314 658,00;210 610,00;38 480,00;152 504,31;
Celgene s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;46 598,80;108 823,45;40 100,00;;20 971,09;307,40
STADA PHARMA Slovakia, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;773 810,27;338 704,89;196 955,89;276 778,00;14 276,44;9 564,15
SunlightPharmacy01 s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
MEDIC INTERNATIONAL;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Panmed.SK s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
MoyMedica s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
LT;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
4 LIFE PHARMA SK, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;42 900,00;5 000,00;;;;
Vipharm Slovakia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;74 972,00;0,00;80 919,00;20 702,00;250,00;
MYLAN s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;35 347,40;23 151,69;354 481,70;27 591,30;2 749,00;472,50
Lekáreň POLIKLINIKA BYTČA s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
