PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2016;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
MEDEA - N.B. s.r.o.;Nová Baňa;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
Magma plus s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
MIMI, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;478,80;0,00;;;;
milpharm;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
REGIA LC s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Nukleus s.r.o.;Lutila;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
MEDVIT s.r.o.;Nová Baňa;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
PRAME ZVOLEN s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň RIMAVA s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
ALTHEA s.r.o.;Žarnovica;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
SladMedica s.r.o;Hriňová;Okres Detva;Banskobystrický kraj;0,00;0,00;;;;
Mgr. Želmíra Šoošová;Poniky;Okres Banská Bystrica;Banskobystrický kraj;635,00;;;;;
MELISSAMO s r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Verejná lekáreň Polomka s.r.o.;Polomka;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
MF Centrum s.r.o.;Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický kraj;0,00;0,00;;;;
PHARM VIDIEK, spol. s r.o.;Hrochoť;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
DSD Pharma, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Mkj sro;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
MORA-NOO, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Mgr.Zoltán Antal;Tornaľa;Okres Revúca;Banskobystrický kraj;100,00;0,00;;;;
REVITAL-JH s.r.o.;Revúca;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;
LEKÁREŇ POD BRÁNOU;Badín;Okres Banská Bystrica;Banskobystrický kraj;560,00;0,00;;;;
Mgr.Jana Balkova-LEKAREN CENTRUM;Fiľakovo;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
EMRAMA s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Anthya s.r.o.;Nová Baňa;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
MF Centrum 1 s.r.o.;Hontianske Nemce;Okres Krupina;Banskobystrický kraj;0,00;0,00;;;;
TS Pharma s.r.o. ;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;22 373,97;6 467,15;;;;
ZdravMedica s.r.o;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
Srnkapharm s.r.o.;Beňuš;Okres Brezno;Banskobystrický kraj;2 500,00;;;;;
BIBA-FAM s.r.o;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
Verapharm s.r.o.;Hnúšťa;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
CARTAXO;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Medic Hnúšťa, s.r.o.;Hnúšťa;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
PaedDr.Zuzana Hufková Bódiová;Horná Ves;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
Delpharm s.r.o.;Sása;Okres Zvolen;Banskobystrický kraj;;;;;;
PharmDr. Helena Giertlová- Lekáreň Helenium;Valaská;Okres Brezno;Banskobystrický kraj;;;;;;
Milpharm 1, s.o.;Brezno;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Avicena s.r.o.;Hliník nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
Univerzitná lekáreň;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;375,84;;;;;
MIKROCHEM spol. s r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Tatra-Alpine, a.s.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;;1 000,00;;1 000,00;;
INTEC PHARMA s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
MGP, spol. s r. o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;10 541,96;23 535,05;26 999,85;12 167,09;15 872,63;
Messer Tatragas, spol. s r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
SYNERGIA;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
UNIMED,spol.s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;11 150,00;;;;;3 449,28
7R Panmed, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
lekáreň PANACEA;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
PharmDr.Hilda Petrovičová;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Berlin-Chemie A.G.-obchodné zastúpenie v SR;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;58 696,00;56 567,00;9 898,80;103 571,26;126 184,12;151 243,44
Galderma-Spirig Česká a Slovenská republika a.s.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;443 987,50;45 006,05;700,00;1 450,00;4 594,53;6 151,56
Octapharma AG, o.z.z.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;5 740,00;0,00;;;994,00;
Lekáreň ZDRAVIE, Bernolákovo;Bernolákovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
TESCO STORES SR, a.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;525,08;;;525,08;;
PROTETIKA, a.s.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Merck spol. s r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;613 361,63;7 870,90;136 430,80;20 550,00;93 675,98;
sanofi-aventis Slovakia s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Hikma Pharmaceuticals Ltd.Co. o.z. ;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;14 300,00;27 004,96;;;;
Naturprodukt, spol. s. r. o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;20 478,30;51 664,16;604,97;2 253,02;;
Ewopharma spol. s r. o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;144 971,76;27 921,04;5 972,49;13 054,70;6 207,78;5 786,41
Johnson & Johnson s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;765 452,49;729 460,55;87 350,87;254 436,39;124 539,92;
LACOMED SK, s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
B. Braun Medical;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;1 221,99;;50 894,06;194 970,34;;
Reckitt Benckiser (Slovak Republic) spol. s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;304 130,18;0,00;;;;
UNIMED PHARMA spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;40 000,00;9 556,00;7 185,00;32 427,50;1 465,00;1 129,00
Takeda Pharmaceuticals Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;135 119,00;31 459,00;21 222,94;22 916,08;24 716,14;0,00
CITYPHARM s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Aeskulap, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Protea spol.s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;2 184,32;0,00;;;;
BGN s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pro futuro s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Izomedact, spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
C.K.H., spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Rhea spol. s r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
LYMA,s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
VERSUS  JJ, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Zentiva, a.s.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;17 912,02;11 941,35;26 016,00;7 172,00;246 320,10;2 038,53
BENU SK 56, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;;870,00;;
AVES s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
BENU SK 57, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
MEDICAL GROUP SK a.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;10 000,00;;
MEDOCHEMIE LTD organizačná zložka zahraničnej osoby;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;25 912,00;6 330,00;3 958,00;28 163,00;;
UCB s.r.o., organizačná zložka ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;31 193,19;13 251,45;7 002,70;1 073,70;7 420,41;
Mundipharma Gesellschaft m.b.H organizačná zložka;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;133 207,00;18 631,00;41 509,11;5 000,00;77 085,53;8 160,69
Grifols International, S.A. obchodné zastúpenie pre Slovensko;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;;6 549,00;;;10 481,21;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ registrácie humánneho lieku;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;212 139,40;573 937,78;69 971,19;87 963,36;34 300,08;
AstraZeneca AB , ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;171 149,35;0,00;253 712,97;29 330,28;;
lekáreňEGI;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Galena;Veľké Leváre;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Pharmevid s.r.o. ;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;8 380,00;2 511,60;;500,00;;
PHOENIX Zdravotnícke zásobovanie, a.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;410 117,29;0,00;;325 740,00;;0,00
EGIS SLOVAKIA s.r.o. - držiteľ povolenia na veľkodistribúciu liekov;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
EGIS SLOVAKIA s.r.o. - držiteľ povolenia na registráciu humánneho lieku;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;448 355,72;38 437,54;187 290,00;22 389,06;63 736,72;2 222,21
Onkologický ústav sv. Alžbety, Lekáreň sv. Alžbety Heydukova 10  a pobočka Lekáreň sv. Alžbety, Špitálska 5;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
sanofi- aventis Pharma Slovakia s.r.o.  ;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;124 929,35;83 286,24;68 879,31;130 612,60;131 410,87;14 181,39
NEOPROT spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;36 628,80;0,00;;;;
Zentiva International a.s.  ;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
REGpharm Slovakia, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Servier Slovensko spol. s r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;370 270,00;416 190,00;312 769,00;114 661,80;116 566,83;
GlaxoSmithKline Slovakia s.r.o. - farmaceutická spoločnosť;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;258 271,51;88 369,05;61 058,70;6 810,72;6 015,02;3 756,00
GlaxoSmithKline Slovakia s.r.o. - držiteľ registrácie;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
GlaxoSmithKline Slovakia s.r.o.- držiteľ povolenia na veľkodistribúciu;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
BOIRON SK, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;97 853,00;198 081,00;3 930,63;3 264,04;320,00;
TOPIX, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
NeoBALZAM, sr.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
SIAD Slovakia spol. s r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Bayer, spol. s r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;211 342,53;70 492,46;77 489,00;47 609,65;182 434,27;3 295,63
Lundbeck Slovensko s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;51 730,80;75 873,68;114 719,72;8 670,00;104 415,14;
Krewel Meuselbach s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;78 378,42;50 915,52;3 475,00;1 600,00;;
Recordati SK s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;550,00;92 127,60;28 528,20;1 514,70;387,42;
Harmónia Pharm s.r.o;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Magnet Press,s.r.o;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Glynn Brothers Chemicals Slovakia s.r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;420 000,00;;;;;
INTERPHARM Slovakia, a.s.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
EMPIRIA SLOVAKIA  s.r.o;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;500,00;500,00;;;;
Actavis s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;6 465,00;111 382,00;;;;
LIEK s.r.o.;Senec;Okres Senec;Bratislavský kraj;;54 393,07;;3 500,00;;
Baxter Slovakia s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;42 655,36;;6 861,84;;28 815,08;
Gold Royal;Bratislava - mestská časť Lamač;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Adamed Slovakia s.r.o.,;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;1 622,98;752,75;;;;
HPI, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;943,75;836,00;;;;
Zdravotnícke potreby Santé s.r.o.;Bratislava - mestská časť Vrakuňa;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Nutricentrum s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Benela s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;41 149,60;21 842,50;12 162,79;;3 270,12;
Dr. Peithner Bratislava s.r.o. ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;23 342,00;17 193,00;575,30;2 554,30;;
BELUPO, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;167 483,79;8 457,79;35 100,00;1 400,00;;732,00
IBSA Slovakia s.r.o. - držiteľ registrácie humánneho lieku a farmaceutická spoločnosť;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 076 165,30;153 747,70;22 465,00;281 423,29;11 084,78;30 151,40
IBSA Slovakia s.r.o. - držiteľ povolenia na veľkodistribúciu liekov;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Chiesi Slovakia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;42 671,02;0,00;720,00;4 430,00;1 833,29;
Schwabe Slovakia, s.r.o.  ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;526 994,00;381 906,00;42 060,70;94 417,00;;
Eli Lilly Slovakia,s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;101 990,00;129 482,00;87 209,43;13 255,00;30 871,15;0,00
Regimed SR s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Meda Pharma spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;329 976,77;276 491,88;152 830,00;12 500,00;44 370,69;
Pharim;Pezinok;Okres Pezinok;Bratislavský kraj;1 200,00;0,00;;;;
Pfizer Luxembourg SARL;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;722 721,40;476 302,16;404 016,60;21 204,90;162 797,33;0,00
Roche Slovensko, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;295 094,75;184 511,76;180 964,41;12 191,45;214 397,84;30 774,70
Akacia, a.s.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
R-Pharmaservices, s.r.o. ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ASCO International s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Pyxis s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
PHARMEDCONS, s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;129,29;2 655,00;;;;
Recept Slovakia s.r.o;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Fresenius Kabi s.r.o., organizačná zložka;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;35 110,00;38 300,00;25 074,90;5 421,30;;1 245,61
Harmony-Pharm, s.r.o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;1 980,00;;;;;
Pharma CBC s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
LEKÁREŇ FARMACIA,s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
MEDACO s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;;;;;;
Lekáreň Prima;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;;;;;;
TEVA Pharmaceuticals Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;67 055,27;2 280 477,38;103 397,75;3 644,13;120 612,31;31,80
LekInvest s.r.o;Bratislava - mestská časť Rusovce;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
MedCon, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Westcor s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
GLENMARK PHARMACEUTICALS SK, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;106 406,23;120 934,61;;;;
PharmaVita s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
A&D Pharma Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň 24 s.r.o;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Pharmacum s.r.o;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Medirex Servis, s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
ProLek s.r.o;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
FARMAX Slovakia, a.s.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;14 084,00;62 922,00;;;;
