PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2018;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Cardiopharm spol.s r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
AYKUT S.R.O.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;100,00;;;;;
cannabis;Revúca;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;
Mgr. Vaľková Michaela;Tornaľa;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;
Mgr. Zoltán Antal;Tornaľa;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;
Avexis;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Emrama s.r.o;Zvolen;Okres Zvolen;Banskobystrický kraj;1 600,00;0,00;;;;
Slovfarminvest;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
TS Pharma s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;9 120,80;0,00;;;;
Srnkapharm s.r.o.;Beňuš;Okres Brezno;Banskobystrický kraj;14 000,00;0,00;;;;
MEDISPERA;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Pharmedic s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;0,00;0,00;;;;
VERAPHARM s.r.o.;Hnúšťa;Okres Rimavská Sobota;Banskobystrický kraj;0,00;0,00;;;;
CARTAXO s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
Tabletka s.r.o.;Horné Hámre;Okres Žarnovica;Banskobystrický kraj;0,00;0,00;;;;
NaturePharm s.r.o.;Krupina;Okres Krupina;Banskobystrický kraj;0,00;0,00;;;;
Média-RS s,r,o,;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;550,00;;;;;
Delpharm s.r.o.;Sása;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
PharmDr. Helena Giertlová- Lekáreň Helenium;Valaská;Okres Brezno;Banskobystrický kraj;;;;;;
Eddie, s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Miraxis s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;1 250,00;;;;;
ESIT, s.r.o. lekáreň ARCHA;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Health Development s.r.o;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Avicena s.r.o.;Hliník nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
Mgr. Peter Vaľko;Tornaľa;Okres Revúca;Banskobystrický kraj;0,00;0,00;;;;
RAVAPHARM s.r.o.;Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický kraj;0,00;0,00;;;;
Pharmanetic s.r.o.;Rimavská Sobota;Okres Rimavská Sobota;Banskobystrický kraj;454,78;0,00;;;;
Spasiteľ SK;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
M.J. TEAM SK, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
PharmDr. Jakub Páterek;Dudince;Okres Krupina;Banskobystrický kraj;0,00;0,00;;;;
MNSS;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Národný onkologický ústav;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Univerzitná lekáreň;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
MIKROCHEM spol. s r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Tatra-Alpine, a.s.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;23 000,00;;;600,00;;
INTEC PHARMA s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
MGP, spol. s r. o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;3 404,38;12 451,49;52 536,96;25 418,32;11 915,81;0,00
Messer Tatragas, spol.s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
SYNERGIA a.s.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Berlin-Chemie A.G. - obchodné zastúpenie v SR;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;61 590,00;46 345,83;6 950,00;155 695,33;121 499,19;119 542,73
Galderma-Spirig Česká a Slovenská republika a.s. - v likvidácii;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;35 116,27;;;;7 316,65;
Octapharma AG, o.z.z.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;5 228,40;;;;;
Lekáreň ZDRAVIE, Bernolákovo;Bernolákovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
RNDr. Vasilka Zacharová;Lozorno;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Interpharm spol.s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Merck spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;772 320,61;39 020,80;120 644,81;9 150,00;82 725,71;
sanofi-aventis Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Hikma Pharmaceuticals LTD, CO;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;32 683,20;4 714,28;24 270,00;500,00;;
Naturprodukt spol. s r. o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;15 263,47;45 657,19;540,51;2 694,00;;
EWOPHARMA, spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;162 274,60;34 242,27;16 082,67;2 362,52;;
Johnson & Johnson, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;695 282,70;213 471,40;107 815,29;;107 575,97;
LACOMED SK, s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;;;;;;
B. Braun Medical s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;18 578,98;;20 539,12;109 484,70;;
Reckitt Benckiser (Slovak Republic), spol. s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;707 325,00;20 334,00;;;;
REHA SLOVAKIA s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
UNIMED PHARMA, spol. s r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;14 562,00;11 300,00;;;10 491,70;15 370,70
Takeda Pharmaceuticals Slovakia, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;212 595,32;131 701,50;37 929,67;;37 042,04;
Aeskulap spol. s r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Protea spol.s.r.o;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;1 018,00;;;;;
BGN s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MichalekPharm, spol. s r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pro futuro s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Izomedact, spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Rhea spol. s r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
APOTHEKA ESSENTIAE;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lyma,s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Aries 94;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;15 976,60;;;;;
Zentiva a.s.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;147 475,50;98 316,97;62 697,00;2 080,00;230 789,31;3 890,54
BEATRIX s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
COIMPEX, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 56, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 557,98;;;
AVES, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
SlovenaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MEDICPRODUCT, a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 57, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;60,00;;;;;
MEDICAL GROUP SK a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
MEDOCHEMIE LTD organizačná zložka zahraničnej osoby;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;83 450,00;81 899,00;11 793,00;24 914,50;;
UCB s.r.o., organizačná zložka ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;23 518,76;682,34;24 580,00;2 000,00;10 712,92;
Mundipharma Gesellschaft m.b.H organizač;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;124 882,00;40 351,00;33 900,00;3 850,00;40 149,43;3 202,75
"Grifols International, S.A., obchodné zastúpenie pre Slovensko
";Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;7 560,00;4 400,12;;;4 266,26;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;511 282,00;479 923,00;112 167,96;75 873,16;;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;;;;
AstraZeneca AB, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;6 360,99;0,00;170 698,73;333 632,10;415,44;
Univerzitná nemocnica Bratislava;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
lekáreň EGI;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Galena;Veľké Leváre;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
OrthoPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pharmevid s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;9 239,76;1 032,15;;;102,18;
INTERCLASSWOOD s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Phoenix Zdravotnícke Zásobovanie, a.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;775 390,07;;;300 840,00;;0,00
EGIS SLOVAKIA s.r.o. - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;475 362,58;64 362,58;232 262,00;16 471,63;37 816,79;2 739,35
EGIS SLOVAKIA s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
NzPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;935,91;0,00;;;;
Jarosla Šefčík-Šefprot;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;1 100,00;;;;;
Onkologický ústav sv. Alžbety s.r.o;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
APOTHEKA;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
sanofi- aventis Pharma Slovakia s.r.o. ;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;917 938,60;611 959,00;101 732,17;6 945,00;168 708,14;
Neoprot, spol. s r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Zentiva International a.s.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
REGpharm Slovakia, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
ANGE s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
SERVIER SLOVENSKO spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;514 297,27;435 302,41;320 859,00;25 003,57;180 238,84;
GLAXOSMITHKLINE SLOVAKIA S.R.O. - Farmaceutická spoločnosť;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;109 276,38;207 004,63;40 722,45;1 400,00;18 865,02;
GlaxoSmithKline Slovakia s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
GlaxoSmithKline Slovakia s.r.o. - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
TOPIX, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
NeoBALZAM, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ISCARE,a.s.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Bayer;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;168 902,30;60 397,33;66 724,10;133 571,04;104 732,33;
LUNDBECK Slovensko s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;23 241,44;26 806,38;80 679,66;3 600,00;46 832,74;
Krewel Meuselbach, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;90 057,24;52 255,15;6 815,00;;;
RECORDATI SK s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;33 540,79;62 020,00;7 380,00;3 584,32;
Harmónia Pharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Glynn Brothers Chemicals Slovakia, s.r.o. ;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;370 152,30;;;;;
INTERPHARM Slovakia, a.s.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;2,00;;;;
R.A.C.Bratislava, spol. s r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
EMPIRIA SLOVAKIA s.r.o;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;500,00;500,00;;;;
LIEK s.r.o.;Senec;Okres Senec;Bratislavský kraj;;0,00;;;;
Valmed s.r.o.;Bratislava - Dúbravka;Okres Bratislava IV;Bratislavský kraj;519,00;0,00;;;;
Baxter Slovakia s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;49 226,97;;7 216,63;;13 131,73;
GOLD ROYAL;Bratislava - Lamač;Okres Bratislava IV;Bratislavský kraj;116,67;;;;;
Protetika Bardejov, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Adamed Slovakia s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;147 399,52;6 670,26;1 418,00;1 116,14;182,10;180,70
AKACIA PHARMA s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;22 654,53;4 373,82;;;;
Zdravotnícke potreby Santé s.r.o.;Bratislava - Vrakuňa;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Benela s.r.o. - hlásenie za spol. Pharmazeutische Fabrik Montavit GmbH, Rakúsko;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Benela s.r.o. - hlásenie za spol. OM Pharma S.A., Portugalsko;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;9 822,65;26 557,52;11 800,00;;14 584,99;
Dr. Peithner Bratislava s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;23 774,00;20 721,00;740,60;4 600,17;;
BELUPO, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;235 403,00;16 873,05;39 520,00;940,00;1 364,00;2 617,00
IBSA Slovakia, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;854 021,00;705 255,00;112 865,00;373 814,07;68 025,42;
IBSA Slovakia, s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
Chiesi Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;59 980,56;0,00;40 708,92;7 850,00;48 997,57;
Schwabe Slovakia, s.r.o.  ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;726 379,00;637 660,00;30 085,09;139 495,00;;
Eli Lilly Slovakia,s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;86 783,00;133 555,00;86 148,41;5 546,00;43 767,16;0,00
REGIMED SR s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Meda Pharma spol. s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;94 004,00;40 830,00;149 890,00;2 280,00;42 575,99;
PFIZER LUXEMBOURG SARL,o.z.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;766 779,86;157 246,25;349 004,12;11 191,76;226 926,10;0,00
Roche Slovensko, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;167 527,59;174 770,41;125 894,16;58 310,06;138 176,13;119 501,54
AKACIA, a.s.;Senec;Okres Senec;Bratislavský kraj;;0,00;;;;
R-Pharmaservices, s.r.o.   ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
PHARMEDCONS, s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;3 002,00;346,61;;;;
Recept Slovakia s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Fresenius Kabi s.r.o., o.z.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;132 141,00;31 344,00;8 392,78;10 570,50;24 632,38;6 418,77
Harmony-Pharm, s.r.o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;1 372,80;;;;;
LEKAREŇ FARMÁCIA, s.r.o;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
MEDACO s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;;;;;;
Lekaren Prima;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;;;;
TEVA Pharmaceuticals Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;89 082,69;1 619 545,46;25 476,77;;343 452,00;
LekInvest s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
hc&ph, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
MedCon, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Westcor sro;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
GLENMARK PHARMACEUTICALS SK, s. r. o. ;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;366 184,17;143 818,38;;;7 277,51;
OCCELUS, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;3 835,00;;;;;
Lekáreň pri radnici spol s r.o.;Bratislava - Devínska Nová Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Lekáreň 24 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Neuraxpharm Slovakia, a.s.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;121 740,00;16 356,00;;;;
Lekmagma s.r.o.;Bratislava - Rusovce;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
SANDOZ d.d. - organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;649 251,67;277 919,75;312 600,00;43 934,00;139 036,23;
PharmInvest s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;720,00;0,00;;;;
MiliPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
AOP Orphan Pharmaceuticals AG;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;5 160,00;;82 930,00;2 160,00;6 951,60;
PHARMACOM s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;0,00;;;;
PK Pezinok spol. s r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Mgr. Terézia Mičková - lekáreň Fortuna;Stupava;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
arimedon;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Top Pharmex Ružomberok s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Stallergenes CZ s.r.o., organizačná zložka;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;28 707,42;;2 750,00;73 685,00;1 729,47;8 089,55
Allergy Therapeutics (UK) Limited, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;3 882,00;0,00;;;;
IlavaMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
SOFIDA s.r.o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
