PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
MIKROCHEM spol. s r.o.;Pezinok;Bratislavský kraj;Okres Pezinok;MIKROCHEM spol. s r.o.;0,00;0,00;;;;
MGP, spol. s r. o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;MGP, spol. s r. o.;1 124,69;5 426,50;25 583,18;;3 758,00;
SYNERGIA a.s.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;SYNERGIA a.s.;0,00;0,00;;;;
Psychiatrická nemocnica Philippa Pinela;Pezinok;Bratislavský kraj;Okres Pezinok;Psychiatrická nemocnica Philippa Pinela;;;;;;11 188,35
BERLIN-CHEMIE A.G.-obchodné zastúpenie v SR;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;BERLIN-CHEMIE A.G.-obchodné zastúpenie v SR;;;;;;
Octapharma AG, o.z.z.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Octapharma AG, o.z.z.o.;4 330,00;;;;2 310,00;
RNDr. Vasilka Zacharová-Lekáreň Verbena;Lozorno;Bratislavský kraj;Okres Malacky;RNDr. Vasilka Zacharová-Lekáreň Verbena;0,00;0,00;;;;
PROTETIKA, a.s.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;PROTETIKA, a.s.;0,00;0,00;;;;
Interpharm spol. s.r.o.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;Interpharm spol. s.r.o.;0,00;0,00;;;;
Merck spol. s r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Merck spol. s r.o.;90 743,38;16 174,00;61 901,05;35 700,00;47 155,21;
sanofi-aventis Slovakia s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;sanofi-aventis Slovakia s.r.o.;1 170 764,40;780 509,60;123 192,55;15 164,00;33 711,90;4 332,59
EWOPHARMA spol. s r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;EWOPHARMA spol. s r.o.;70 023,65;63 536,35;370,38;2 100,00;2 980,56;
Johnson & Johnson, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Johnson & Johnson, s.r.o.;526 139,00;158 189,00;42 249,15;;13 509,79;
B.Braun Medical s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;B.Braun Medical s.r.o.;16 212,90;;10 934,97;62 849,09;;
Reckitt Benckiser (Slovak Republic), spol. s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Reckitt Benckiser (Slovak Republic), spol. s.r.o.;659 245,00;18 830,00;;;;
REHA SLOVAKIA s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;REHA SLOVAKIA s.r.o.;0,00;0,00;;;;
Takeda Pharmaceuticals Slovakia s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Takeda Pharmaceuticals Slovakia s.r.o.;425 973,46;190 098,34;66 601,00;14 423,00;23 917,59;
Aeskulap, spol. s r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Aeskulap, spol. s r.o.;0,00;0,00;;;;
Protea spol.s.r.o;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Protea spol.s.r.o;785,50;;;;;
MichalekPharm, spol. s r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;MichalekPharm, spol. s r.o.;199,20;;;;;
Pro futuro s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Pro futuro s.r.o.;0,00;0,00;;;;
LEKÁREŇ AVION s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;LEKÁREŇ AVION s.r.o.;;;;;;
Izomedact, spol. s r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Izomedact, spol. s r.o.;0,00;0,00;;;;
Rhea spol. s r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Rhea spol. s r.o.;0,00;0,00;;;;
LYMA,s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;LYMA,s.r.o.;0,00;0,00;;;;
Zentiva a.s.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Zentiva a.s.;255 024,41;170 016,27;105 026,35;4 500,00;10 958,79;
BEATRIX s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BEATRIX s.r.o.;99,60;;;;;
BENU SK 56,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 56,  s. r. o.;77,04;;1 166,10;;;
SlovenaPharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;SlovenaPharm s.r.o.;699,60;;;;;
MEDICAL GROUP Sk a.s.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;MEDICAL GROUP Sk a.s.;0,00;0,00;;;;
MEDOCHEMIE LTD organizačná zložka zahraničnej osoby;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;MEDOCHEMIE LTD organizačná zložka zahraničnej osoby;17 582,00;19 422,00;9 880,00;22 444,00;291,65;
UCB s.r.o., organizačná zložka ;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;UCB s.r.o., organizačná zložka ;1 400,51;0,00;10 390,00;830,00;3 113,72;
Mundipharma Gesellschaft m.b.H organizač;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Zastupuje: Mundipharma Ges.m.b.H. Rakúsko, Astellas Pharma GmbH, Nemecko, Janssen Cilag International NV, Belgicko;26 161,00;2 475,00;15 164,00;;1 418,53;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ povolenia na veľkodistribúciu liekov;;;;;;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ registrácie humánneho lieku;207 290,00;682 462,00;36 858,00;12 530,00;4 069,64;
AstraZeneca AB, organizačná zložka;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;AstraZeneca AB, organizačná zložka;16 731,35;0,00;;669 621,27;;
Univerzitná nemocnica Bratislava;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Univerzitná nemocnica Bratislava;0,00;0,00;;;;
lekáreň EGI;Malacky;Bratislavský kraj;Okres Malacky;lekáreň EGI;0,00;0,00;;;;
Lekáreň Galena;Veľké Leváre;Bratislavský kraj;Okres Malacky;Lekáreň Galena;0,00;0,00;;;;
Alena Hromadová;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Alena Hromadová;0,00;0,00;;;;
OrthoPharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;OrthoPharm s.r.o.;535,90;;;;;
Lekáreň Kryštál, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Lekáreň Kryštál, s.r.o.;;;;;;
Pharmevid s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Pharmevid s.r.o.;8 906,12;18 933,65;;;;
INTERCLASSWOOD s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;INTERCLASSWOOD s.r.o.;99,60;;;;;
PHOENIX Zdravotnícke zásobovanie, a.s.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;PHOENIX Zdravotnícke zásobovanie, a.s.;879 458,47;;;;;
EGIS SLOVAKIA s.r.o. - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;EGIS SLOVAKIA s.r.o. - Držiteľ registrácie humánneho lieku;227 223,70;9 821,58;24 205,00;1 780,00;5 148,92;
EGIS SLOVAKIA s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Grindeks;0,00;0,00;;;;
EGIS SLOVAKIA s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;JUTA PHARMA GmbH;853,00;2 240,00;;;;
EGIS SLOVAKIA s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;EGIS SLOVAKIA s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;0,00;0,00;;;;
EGIS SLOVAKIA s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Celltrion Healthcare Hungary Kft;89 127,84;5 380,40;53 180,00;7 050,00;3 289,06;
NzPharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;NzPharm s.r.o.;2 036,60;2 000,00;;;;
Onkologický ústav sv. Alžbety s.r.o Lekáreň sv. Alžbety-pobočka;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Onkologický ústav sv. Alžbety s.r.o Lekáreň sv. Alžbety-pobočka;;;;;;
NEOPROT spol. s r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;NEOPROT spol. s r.o.;6 019,00;;;;;
REGpharm Slovakia, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;REGpharm Slovakia, s.r.o.;0,00;0,00;;;;
SERVIER SLOVENSKO spol. s r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;SERVIER SLOVENSKO spol. s r.o.;438 190,07;389 976,84;84 686,00;86 131,49;14 875,82;
GlaxoSmithKline Slovakia s.r.o. - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;GlaxoSmithKline Slovakia s.r.o. - Držiteľ registrácie humánneho lieku;0,00;0,00;;;;
GlaxoSmithKline Slovakia s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;GlaxoSmithKline Slovakia s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;0,00;0,00;;;;
GlaxoSmithKline Slovakia s.r.o. - Farmaceutická spoločnosť;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;GlaxoSmithKline Slovakia s.r.o. - Farmaceutická spoločnosť;44 000,53;106 409,18;27 540,90;;4 454,75;5 610,00
Boiron SK, s.r.o.;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;Boiron SK, s.r.o.;95 060,63;107 855,67;3 340,24;6 322,68;;
NeoBALZAM, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;NeoBALZAM, s.r.o.;0,00;0,00;;;;
ISCARE,a.s.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;ISCARE,a.s.;0,00;0,00;;;;
Bayer, spol. s r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Bayer, spol. s r.o.;59 303,30;19 730,00;36 732,40;109 950,21;12 571,90;
LUNDBECK Slovensko s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;LUNDBECK Slovensko s.r.o.;33 309,67;12 967,10;44 808,04;9 520,00;8 764,97;
Krewel Meuselbach s.r.o. ;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Krewel Meuselbach s.r.o. ;86 459,84;25 748,15;603,46;;;
RECORDATI SK s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;RECORDATI SK s.r.o.;10 263,84;8 172,00;38 410,00;;25 231,09;
Harmónia Pharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Harmónia Pharm s.r.o.;989,60;;;;;
Magnet Press,s.ro;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Magnet Press,s.ro;0,00;0,00;;;;
Fidia Pharma Slovakia s.r.o.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;Fidia Pharma Slovakia s.r.o.;1 666,20;;;;;
INTERPHARM Slovakia, a.s.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;INTERPHARM Slovakia, a.s.;0,00;0,00;;;;
R.A.C.Bratislava, spol. s r.o.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;R.A.C.Bratislava, spol. s r.o.;0,00;0,00;;;;
EMPIRIA SLOVAKIA;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;EMPIRIA SLOVAKIA;500,00;500,00;;;;
Liek, s.r.o.;Senec;Bratislavský kraj;Okres Senec;Liek, s.r.o.;0,00;0,00;;;;
LIEK, s.ro.;Senec;Bratislavský kraj;Okres Senec;Biose, Francúzsko;20 894,40;;;;;
LIEK s.r.o.;Senec;Bratislavský kraj;Okres Senec;Laboratoire HRA - PHARMA, Francúzsko;7 194,28;;;;;
Baxter Slovakia s.r.o.;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;Baxter Slovakia s.r.o.;3 611,00;;;;;
GOLD ROYAL S.R.O., Kúpeľná lekáreň;Bratislava - Lamač;Bratislavský kraj;Okres Bratislava IV;GOLD ROYAL S.R.O., Kúpeľná lekáreň;0,00;0,00;;;;
Adamed Slovakia s.r.o.;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;Adamed Slovakia s.r.o.;132 764,25;5 663,75;;;142,00;75,00
AKACIA PHARMA s.r.o.;Reca;Bratislavský kraj;Okres Senec;AKACIA PHARMA s.r.o.;4 305,11;2 950,39;;;;
Zdravotnícke potreby Santé, s.r.o.;Bratislava - Vrakuňa;Bratislavský kraj;Okres Bratislava II;Zdravotnícke potreby Santé, s.r.o.;0,00;0,00;;;;
Benela s.r.o.;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;Podané za držiteľa registrácie humánneho lieku: OM Pharma S.A., Portugalsko;38 693,15;22 858,44;1 685,00;;715,60;
Dr. Peithner Bratislava s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Dr. Peithner Bratislava s.r.o.;38 101,00;36 627,00;492,00;2 628,00;;
BELUPO, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;BELUPO, s.r.o.;78 254,00;11 791,00;35 980,00;620,00;200,00;
IBSA Slovakia, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;IBSA Slovakia, s.r.o.;558 588,00;475 525,00;151 850,00;414 325,88;44 817,13;
IBSA Slovakia, s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;IBSA Slovakia, s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;;;;;;
Chiesi Slovakia s.r.o.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;Chiesi Slovakia s.r.o.;49 689,94;;9 158,30;3 224,00;1 400,00;
Schwabe Slovakia, s.r.o;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Schwabe Slovakia, s.r.o;382 533,00;364 425,00;3 848,42;12 101,51;;
Eli Lilly Slovakia s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Eli Lilly Slovakia s.r.o.;67 777,00;60 877,00;13 026,00;3 362,48;31 841,93;549,31
Regimed SR;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Regimed SR;0,00;0,00;;;;
Meda Pharma spol. s r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Meda Pharma spol. s r.o.;72 625,00;228 602,00;63 620,00;1 660,00;7 343,50;
Pfizer LUXEMBOURG SARL, o.z.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Bristol-Myers Squibb/Pfizer EEIG;;;2 820,88;;;
PFIZER LUXEMBOURG SARL,o.z.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;PFIZER LUXEMBOURG SARL,o.z.;607 651,07;201 308,49;149 420,89;10 433,02;29 144,67;0,00
Pfizer LUXEMBOURG SARL, o.z.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Pfizer Ireland Pharmaceuticals, Operations Support Group;;;;;;
Pfizer LUXEMBOURG SARL, o.z.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Basilea Pharmaceutica Deutschland GmbH;;;;;;
Pfizer LUXEMBOURG SARL, o.z.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Pfizer Europe MA EEIG;;;;;;
Pfizer LUXEMBOURG SARL, o.z.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Upjohn EESV;;;;;;
Pfizer LUXEMBOURG SARL, o.z.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Pfizer Corporation Austria Gesellschaft m.b.H;;;;;;
Roche Slovensko, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Roche Slovensko, s.r.o.;130 058,05;78 704,93;44 820,16;71 924,44;15 245,84;148 972,90
R-Pharmaservices, s.r.o.   ;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;R-Pharmaservices, s.r.o.   ;0,00;0,00;;;;
LIBERI, s.r.o.;Bratislava - Devínska Nová Ves;Bratislavský kraj;Okres Bratislava IV;LIBERI, s.r.o.;0,00;0,00;;;;
PHARMEDCONS, s.r.o.;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;Aristo Pharma GmbH;0,00;0,00;;;;
PHARMEDCONS, s.r.o.;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;PHARMEDCONS, s.r.o.;0,00;0,00;;;;
Fresenius Kabi s.r.o., organizačná zložka;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Fresenius Kabi s.r.o., organizačná zložka;51 259,89;12 158,75;6 497,04;3 400,00;13 217,10;375,58
Harmony-Pharm, s.r.o.;Ivanka pri Dunaji;Bratislavský kraj;Okres Senec;Harmony-Pharm, s.r.o.;0,00;0,00;;;;
LEKAREŇ FARMÁCIA, sr.o.;Pezinok;Bratislavský kraj;Okres Pezinok;LEKAREŇ FARMÁCIA, sr.o.;0,00;0,00;;;;
Lekáreň Prima s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Lekáreň Prima s.r.o.;;;;;;
