PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2017;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Cardiopharm spol. s r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
DSD Pharma s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Torna s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;;;;;;
Unidex Lekáreň spol.s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
TS Prior, s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
TS Palma;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
lspharm s.r.o;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;;;;;;
Slovfarminvest s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;1 619,22;;;;;
MF Centrum1, s.r.o.;Banská Štiavnica;Okres Banská Štiavnica;Banskobystrický kraj;;;;;;
SANY PHARMA spol. s r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň ELNED, s.r.o.;Zvolen;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
Kaplek s.r.o.;Nenince;Okres Veľký Krtíš;Banskobystrický kraj;0,00;0,00;;;;
TS Pharma s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;1 569,61;12 270,00;;;;
Srnkapharm;Beňuš;Okres Brezno;Banskobystrický kraj;15 000,00;0,00;;;;
Lekáreň SRDCE;Sliač;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
CARTAXO s.r.o.;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
Tabletka s.r.o.;Veľká Lehota;Okres Žarnovica;Banskobystrický kraj;;;;;;
PaedDr.Zuzana Hufková Bódiová;Horná Ves;Okres Žiar nad Hronom;Banskobystrický kraj;0,00;0,00;;;;
Delpharm s.r.o.;Sása;Okres Zvolen;Banskobystrický kraj;0,00;0,00;;;;
lekáreň Tesco Zvolen;Zvolen;Okres Zvolen;Banskobystrický kraj;545,00;;;;;
Lekáreň Tesco Banská Bystrica;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;575,00;;;;;
PharmDr. Helena Giertlová- Lekáreň Helenium;Valaská;Okres Brezno;Banskobystrický kraj;0,00;0,00;;;;
lekáreň Tesco Zvolen;Zvolen;Okres Zvolen;Banskobystrický kraj;575,00;;;;;
Eddie, s.r.o.;Lučenec;Okres Lučenec;Banskobystrický kraj;0,00;0,00;;;;
Lekáreň Alchemilka;Banská Bystrica;Okres Banská Bystrica;Banskobystrický kraj;0,00;0,00;;;;
milpharm 1;Brezno;Okres Brezno;Banskobystrický kraj;;;;;;
Lekáreň Avicena, s.r.o.;Hliník nad Hronom;Okres Žiar nad Hronom;Banskobystrický kraj;;;;;;
Univerzitná lekáreň;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
MIKROCHEM spol. s r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Tatra-Alpine, a.s.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;0,00;;600,00;;
INTEC PHARMA s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
MGP, spol. s r. o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;3 738,02;6 962,00;20 243,78;7 030,00;19 410,14;1 586,80
Messer Tatragas, spol. s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
SYNERGIA;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
UNIMED, spol.s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;10 040,00;;;;;3 546,28
7R PANMED;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
lekaren PANACEA;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
PharmDr.Hilda Petrovičová;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Berlin-Chemie A.G. - obchodné zastúpenie v SR;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;91 984,54;32 208,38;11 350,00;119 762,78;155 625,40;200 583,72
Galderma-Spirig česká a Slovenská republika a.s.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;475 925,04;26 650,44;5 540,00;;14 158,76;1 268,00
Octapharma AG, o.z.z.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;5 760,00;;;;452,37;
Lekáreň ZDRAVIE, Bernolákovo;Bernolákovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
RNDr. Vasilka Zacharová-Lekáreň Verbena;Lozorno;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Interpharm spol. s r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Merck spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;456 436,25;40 108,80;126 779,69;71 880,00;92 724,61;51 764,00
sanofi-aventis Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Hikma Pharmaceuticals LTD, CO;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;31 046,40;8 181,84;22 980,00;200,00;;
NATURPRODUKT, spol. s r. o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;47 797,49;99 511,08;;2 920,00;;
Ewopharma spol. s r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;112 121,72;29 342,47;3 982,00;8 760,00;11 503,68;1 112,30
Johnson & Johnson;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;491 217,00;342 634,00;871 597,77;276 859,30;713 718,77;
LACOMED SK, s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
B.Braun Medical s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;14 122,76;;108 575,76;183 690,42;;
Reckitt Benckiser (Slovak Republic) spol. s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;121 307,00;452 693,00;;;;
UNIMED PHARMA, spol. s r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;10 000,00;7 451,00;;;5 790,75;11 660,74
Takeda Pharmaceuticals Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;286 420,23;37 753,29;97 351,83;1 350,00;13 029,45;1 456,10
Aeskulap, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Protea spol.s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;918,20;;;;;
BGN s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lind Gas k.s.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MichalekPharm, spol. s r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;161,46;0,00;;;;
Pro futuro s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Izomedact, spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Rhea spol. s .r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
LYMA;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ARIES 94, s.r.o.;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;3 757,90;;;;3 757,90;
Zentiva, a.s.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;658 053,60;438 702,40;46 238,00;3 125,00;301 034,44;393,00
BEATRIX s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;348,00;0,00;;;;
COIMPEX, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 56, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 520,00;;;
AVES, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
SlovenaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MEDICPRODUCT, a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 57, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 990,00;;;
MEDICAL GROUP SK a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
MEDOCHEMIE LTD Cyprus, organizačná zložka zahraničnej osoby;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;65 495,00;60 790,00;3 917,00;27 607,33;;
UCB s.r.o., organizačná zložka ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;43 048,00;11 972,00;23 040,00;1 485,00;11 857,44;
Mundipharma Gesellschaft m.b.H organizačná zložka;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;59 889,00;6 836,00;21 602,09;800,00;37 755,53;8 810,42
Grifols International S.A., obchodné zastúpenie pre Slovensko;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;2 400,00;1 000,00;800,00;;8 673,99;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ registrácie humánneho lieku;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;488 548,00;508 081,00;86 444,00;98 052,69;32 024,78;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
AstraZeneca AB , ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;154 630,80;0,00;192 692,00;68 776,50;;
lekáreň EGI;Malacky;Okres Malacky;Bratislavský kraj;;;;;;
PharmDr.R.Ralbovská Lekáreň Galena;Veľké Leváre;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
OrthoPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pharmevid s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;1 366,97;0,00;;;20,00;
INTERCLASSWOOD s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PHOENIX Zdravotnícke zásobovanie, a.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;717 024,06;;0,00;267 760,00;8 782,76;0,00
EGIS SLOVAKIA s.r.o. - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;386 220,00;96 528,00;218 315,00;12 215,64;62 996,90;7 034,65
EGIS SLOVAKIA spol. s r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
NzPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Onkologický ústav sv. Alžbety s.r.o., Lekáreň sv. Alžbety a pobočka lekáreň sv. Alžbety;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
sanofi- aventis Pharma Slovakia s.r.o.  ;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;476 440,20;317 626,80;68 826,11;5 705,39;215 766,92;4 247,14
NEOPROT spol. s r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;15 716,00;0,00;;;;
Zentiva International a.s.  ;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
REGpharm Slovakia, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
SERVIER SLOVENSKO spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;421 709,51;420 926,43;485 687,36;45 783,24;180 298,73;
DIASAN spo. s r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;15 363,17;;;;;
GlaxoSmithKline Slovakia s.r.o. - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
GLAXOSMITHKLINE SLOVAKIA S.R.O. - Farmaceutická spoločnosť;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;170 504,28;103 235,53;59 207,65;;6 872,34;245,00
GlaxoSmithKline Slovakia s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
BOIRON SK, s. r. o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;59 657,00;439 590,00;7 905,49;1 420,00;1 825,00;
TOPIX, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
NeoBALZAM, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Bayer, spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;143 829,44;88 302,60;46 696,28;106 592,03;112 109,14;2 917,05
LUNDBECK Slovensko s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;68 791,41;60 599,79;149 066,07;8 714,00;31 512,84;
Krewel Meuselbach, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;90 767,58;47 921,69;2 020,00;;;
RECORDATI SK s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;133 898,10;38 402,10;3 762,45;955,90;
Harmónia Pharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;380,00;0,00;;;;
Magnet Press,s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Glynn Brothers Chemicals Slovakia, s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;278 550,00;;;;;
INTERPHARM Slovakia, a.s.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
R.A.C.Bratislava, spol. s r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
EMPIRIA SLOVAKIA s.r.o;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;500,00;500,00;;;;
LIEK, s.r.o.;Senec;Okres Senec;Bratislavský kraj;;161 257,74;497,80;;;
Baxter Slovakia s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;15 498,02;;3 612,00;;18 788,87;
Adamed Slovakia s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;113 862,03;7 858,45;876,26;1 002,04;909,64;1 157,90
AKACIA PHARMA s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;4 774,59;3 541,70;;;;
Zdravotnícke potreby Santé s.r.o.;Bratislava - Vrakuňa;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Benela s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;47 046,87;15 660,80;26 344,98;;33 972,75;
Dr. Peithner Bratislava s.r.o. ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;48 081,00;31 287,00;1 044,00;2 615,00;;
BELUPO, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;276 807,00;80 727,00;31 630,00;820,00;28 491,91;54 162,43
IBSA Slovakia, s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
IBSA Slovakia, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;667 937,62;386 088,41;;407 048,48;92 307,65;22 773,35
Chiesi Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;75 524,00;;13 609,00;5 314,00;26 028,07;
Schwabe Slovakia, s.r.o.  ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;530 942,00;397 416,00;34 685,30;113 340,39;5 218,69;
Eli Lilly Slovakia,s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;79 769,00;141 049,00;71 270,06;8 211,00;25 015,67;0,00
Regimed SR s.r.o. Fedinova 12;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;;;;;;
Meda Pharma spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;3 456,00;;246 968,88;10 120,00;53 241,69;
Pfizer Luxembourg SARL;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;691 989,38;498 074,57;320 819,14;45 441,26;244 834,35;633,60
Roche Slovensko, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;278 489,65;184 063,15;119 509,33;39 881,32;188 180,99;43 602,59
AKACIA, a.s.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
R-Pharmaservices, s.r.o.   ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Pyxis s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
PHARMEDCONS, s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Recept Slovakia s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Fresenius Kabi s.r.o., organizačná zložka;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;60 245,00;14 290,00;;1 728,00;28 939,08;4 884,55
Harmony-Pharm, s.r.o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;1 980,00;0,00;;;;
LEKAREN FARMACIA, s.r.o;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
MEDACO s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;;;;;;
Lekáreň Prima;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;;;;
TEVA Pharmaceuticals Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;170 195,21;2 429 992,65;58 803,00;5 849,00;109 197,39;1 685,20
Lekáreň Ametyst s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
LekInvest s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
hc&ph, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
MedCon, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
WESTCOR;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
GLENMARK PHARMACEUTICALS, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;115 375,00;311 808,00;;;5 209,33;
A&D Pharma Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň pri radnici spol s r.o.;Bratislava - Devínska Nová Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Lekáreň 24 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;182,50;0,00;;;;
Pharmacum s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Medirex Servis, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
FARMAX Slovakia, a.s.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;93 398,00;325,00;;;;
SANDOZ d.d. - organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;964 656,92;247 600,00;224 770,00;127 850,00;60 781,80;
PharmInvest s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;600,00;0,00;;;;
MiliPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;648,24;0,00;;;;
AOP Orphan Pharmaceuticals AG, organizačná zložka;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;4 100,00;;137 551,88;2 040,00;20 922,75;
PHARMACOM, spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
PK Pezinok s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Mgr. Terézia Mičková, lekáreň Fortuna;Stupava;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Arimedon;Bratislava - Dúbravka;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Top Pharmex Ružomberok s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;719,48;0,00;;;;
Pharmacum Nitra s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Stallergenes CZ s.r.o., organizačná zložka;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;54 730,71;0,00;41 664,20;76 377,20;6 820,47;2 543,39
Allergy Therapeutics (UK) Limited, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;2 013,00;150,00;;;;
IlavaMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;18,19;0,00;;;;
SOFIDA s.r.o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Vitabalans SK s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;46 099,10;1 090,34;;1 999,15;;
IDMC s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
