PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2017;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
MIKROCHEM spol. s r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Tatra-Alpine, a.s.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;9 876,67;;600,00;;
INTEC PHARMA s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
MGP, spol. s r. o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;40 500,76;27 378,69;12 779,30;8 530,87;9 067,16;0,00
Messer Tatragas, spol.s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
SYNERGIA a.s.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
UNIMED, spol. s r o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;11 750,00;;;;;3 985,08
lekaren PANACEA;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Berlin-Chemie A.G.-obchodné zastúpenie v SR;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;132 039,28;49 286,43;22 201,62;163 911,10;126 311,08;131 895,70
Galderma-Spirig Česká a Slovenská republika a.s.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;413 899,57;20 740,66;3 900,00;750,00;28 369,28;1 408,62
Octapharma AG, o.z.z.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;7 615,00;;;;15 132,90;5 080,13
Lekáreň ZDRAVIE, Bernolákovo;Bernolákovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
RNDr. Vasilka Zacharová-Lekáreň Verbena;Lozorno;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Merck spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;359 329,11;11 178,00;106 653,35;9 732,00;71 973,42;
sanofi-aventis Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;;;;;;
Hikma Pharmaceuticals LTD, CO;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;33 699,60;1 703,68;24 910,00;620,00;;
Naturprodukt, spol. s r. o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;24 268,19;111 509,08;335,12;2 270,00;;
Ewopharma spol. s r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;68 859,39;36 515,28;8 281,94;10 735,00;6 033,38;3 776,87
Johnson & Johnson, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;856 779,71;416 527,99;127 253,14;330 902,30;231 913,14;
LACOMED SK, s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
B. Braun Medical;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;10 803,93;;29 569,52;47 126,36;;
Reckitt Benckiser (Slovak Republic) spol. s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;342 714,00;0,00;;;;
Takeda Pharmaceuticals Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;289 413,39;41 133,53;25 727,03;10 356,60;45 454,03;200,00
protea spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;2 463,78;0,00;;;;
MichalekPharm, spol. s .r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pro futuro s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Izomedact, spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Rhea spol. s r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
LYMA s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ARIES 94, s.r.o.;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;15 777,60;;;;1 829,22;
Zentiva, a.s.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;107 662,00;71 775,00;27 880,08;2 000,00;102 867,23;
BEATRIX s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;191,00;0,00;;;;
BENU SK 56, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 540,00;;;
SlovenaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BENU SK 57, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 996,60;;;
MEDICAL GROUP SK a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
MEDOCHEMIE LTD organizačná zložka zahraničnej osoby;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;6 900,00;13 788,00;1 910,01;22 604,88;178,89;
UCB s.r.o., organizačná zložka ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;8 751,80;8 914,52;12 620,00;1 800,00;5 657,40;
Mundipharma Gesellschaft m.b.H organizačná zložka;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;67 045,00;18 521,00;15 950,00;2 500,00;44 409,66;14 148,45
Grifols International, S.A., obchodné zastúpenie pre Slovensko;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;9 869,03;2 400,00;4 000,00;;1 852,20;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ registrácie humánneho lieku;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;449 149,00;598 895,00;81 313,84;48 690,66;23 640,00;
Wörwag Pharma GmbH & Co. KG, organizačná zložka Bratislava - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
AstraZeneca AB , ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;157 474,62;0,00;175 842,69;13 760,00;;
Mgr. Eva Foltýnová - Lekáreň EGI;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Pharm. Dr. Rozália Ralbovská - LEKÁREŇ GALENA;Veľké Leváre;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
OrthoPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pharmevid s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;1 983,76;23,76;;;;
INTERCLASSWOOD s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PHOENIX Zdravotnícke zásobovanie, a.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;420 663,32;0,00;;300 960,00;;0,00
EGIS SLOVAKIA, spol. s r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
EGIS SLOVAKIA s.r.o. - Držiteľ povolenia na registráciu humánneho lieku;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;692 520,11;19 217,01;177 246,13;46 182,00;119 536,35;10 455,13
NzPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Onkologický ústav sv.Alžbety sro, Heydukova 10, Lekáreň sv.Alžbety a pobočka lekáreň sv. Alžbety ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
sanofi- aventis Pharma Slovakia s.r.o.  ;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;179 719,30;119 813,00;165 997,06;61 001,40;62 069,24;
NEOPROT, spol. s r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;25 243,61;0,00;;;;
Zentiva International a.s.  ;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
REGpharm Slovakia, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
SERVIER SLOVENSKO spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;770 875,00;327 107,00;327 278,22;32 170,70;164 902,67;
DIASAN s.r.o.;Bratislava - Dúbravka;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
GlaxoSmithKline Slovakia s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
GlaxoSmithKline Slovakia s.r.o. - Farmaceutická spoločnosť;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;265 948,26;137 224,61;36 701,20;15 970,43;5 014,67;
GlaxoSmithKline Slovakia s.r.o. - Držiteľ registrácie humánneho lieku;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
BOIRON SK, s. r. o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;106 004,37;358 705,31;2 130,00;5 393,20;10 399,00;
topix;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
NeoBALZAM, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Bayer, spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;91 962,66;78 432,16;65 320,00;183 632,17;77 749,12;
LUNDBECK Slovensko s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;16 346,20;47 971,25;91 973,34;850,00;119 432,81;11,55
Krewel Meuselbach s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;83 265,29;84 446,79;2 775,00;1 600,00;;
RECORDATI SK s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;138 047,14;46 775,00;3 615,00;1 401,94;
Harmónia Pharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Glynn Brothers Chemicals Slovakia s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;251 250,00;;;;;
Empiria slovakia s.r.o;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;500,00;500,00;;;;
LIEK, s.r.o.;Senec;Okres Senec;Bratislavský kraj;;170 882,51;;;469,95;
Baxter Slovakia s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;35 623,42;;6 350,84;;36 671,89;
Adamed Slovakia s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;126 990,61;0,00;6 310,00;6 680,00;703,34;470,00
AKACIA PHARMA, s.r.o. (HPI, s.r.o.);Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;2 894,46;2 794,59;;;;
Zdravotnícke potreby Santé s.r.o.;Bratislava - Vrakuňa;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Benela s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;53 714,13;4 710,00;13 278,17;;16 223,33;
Dr. Peithner Bratislava s.r.o. ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;36 656,00;23 992,00;3 040,11;1 710,37;;
BELUPO, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;20 320,00;820,00;1 379,50;3 383,99
IBSA Slovakia s.r.o. -  Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
IBSA Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;543 261,40;370 486,27;52 250,00;459 778,00;36 432,55;15 666,68
Chiesi Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;42 565,44;;2 210,00;3 720,00;21 813,98;
Schwabe Slovakia, s.r.o.  ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;377 160,00;273 850,00;24 919,61;59 079,00;;
Eli Lilly Slovakia,s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;111 727,00;122 955,00;82 584,22;4 110,00;55 417,32;0,00
Meda Pharma spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;200 814,00;149 000,00;12 600,00;730,00;79 074,02;7 499,00
Pfizer Luxembourg SARL;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;816 299,39;248 325,32;276 273,71;33 065,94;202 591,20;85,50
Roche Slovensko, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;183 756,83;100 524,12;136 706,41;17 727,04;147 114,73;35 892,30
AKACIA, a.s.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
R-Pharmaservices, s.r.o.   ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
Pyxis s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
PHARMEDCONS, s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Recept Slovakia s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Fresenius Kabi s.r.o., organizačná zložka;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;37 360,00;29 665,00;;17 399,10;39 206,05;1 059,32
Pharma CBC s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
LEKAREŇ FARMACIA, s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
MEDACO s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;;;;;;
Lekáreň Prima;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;;;;
TEVA Pharmaceuticals Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;1 472 090,53;87 626,95;54 443,30;;125 780,59;
LekInvest s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MedCon, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Westcor s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
GLENMARK PHARMACEUTICALS SK, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;100 545,00;162 010,00;;168,00;565,02;
A&D Pharma Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň 24 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pharmacum s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
FARMAX Slovakia, a.s.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;30 830,00;1 539,00;;;;
SANDOZ d.d. - organizačná zložka;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;463 807,35;359 026,96;48 604,53;303 651,96;56 836,34;
PharmInvest s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MiliPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
AOP Orphan Pharmaceuticals AG, organizačná zložka;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;500,00;0,00;43 272,96;;11 240,88;
PHARMACOM, spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;33 396,00;;;;
Top Pharmex Ružomberok s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pharmacum Nitra s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Stallergenes CZ s.r.o., organizačná zložka;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;24 213,27;1 360,47;41 119,80;62 677,90;44,16;6 899,67
Allergy Therapeutics (UK) Limited, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;607,80;960,00;;;;
Vitabalans SK s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;76 366,00;2 521,32;;630,00;;
Biogen Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;39 240,00;16 643,52;52 251,80;2 821,70;17 775,98;
Lekáreň pri nemocnici - Čadca, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;;;;
Lekáreň TERNO, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Krásno, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;;;;
ZaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
DUVEL, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BENU SK 26, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 999,00;;;
BENU SK 36, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 560,00;;;
BanPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmExpo s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmReal s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MML Topoľčany s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;270,00;0,00;;;;
PharmacyMax s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Sovanis s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;201,89;0,00;;;;
ŠacaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Novartis Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;114 372,32;199 682,00;556 772,36;383 571,38;107 148,07;393,30
PHARMA CBC II, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Novo Nordisk Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;237 647,00;0,00;66 364,00;96 217,00;19 746,00;683,45
Otto Bock Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;3 088,78;0,00;;2 799,20;;
Axonia Pharma s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
APELLA, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
SladMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
DarMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Martin;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Movianto Slovensko s.r.o;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Rastislav Edelstein;Bratislava - Lamač;Okres Bratislava IV;Bratislavský kraj;;;;;;
S&D Pharma SK s.r.o;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;160 365,50;;25 080,00;17 151,64;;
Pharmacum Trnava s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Top Medical s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Krka Slovensko s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;536 412,00;122 201,00;527 518,77;;122 203,08;
Celgene s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;93 680,81;238 330,48;82 889,53;6 571,80;68 192,22;2 423,27
STADA PHARMA Slovakia, s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;1 060 680,00;416 693,00;373 510,00;125 268,00;13 839,32;10 122,91
ŽelMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
TatraPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Medic International;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MoyMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
KrasMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
LT, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
4 LIFE PHARMA SK, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;6 540,00;18 950,00;;;;
Vipharm Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;72 487,72;0,00;96 714,00;18 430,50;;
MYLAN s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;70 759,00;25 646,10;278 938,14;13 020,00;24 651,82;3 234,00
Lekáreň Jantár s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PHARMCROSS s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PdPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pharm-In, spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;7 060,00;;;
Lekáreň POLIKLINIKA BYTČA s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;;;;
ŠpitalPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
